step,epoch,timestamp,wall_time_s,train_loss,learning_rate,grad_norm,gpu_mem_allocated_gb,gpu_mem_reserved_gb,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos
10,0.0292,2026-02-22T19:59:02.724500,47.63,2.1197,1.8e-05,3.489594,5.635,7.592,,,,,,,,
20,0.0584,2026-02-22T19:59:34.262276,79.17,1.3661,3.8e-05,2.049885,5.635,7.594,,,,,,,,
30,0.0876,2026-02-22T20:00:05.224631,110.13,0.5661,5.8e-05,0.803478,5.636,7.594,,,,,,,,
40,0.1168,2026-02-22T20:00:37.361673,142.27,0.4189,7.800000000000001e-05,0.750779,5.636,7.594,,,,,,,,
50,0.146,2026-02-22T20:01:10.225210,175.13,0.404,9.8e-05,0.582188,5.636,7.594,,,,,,,,
60,0.1752,2026-02-22T20:01:40.275874,205.18,0.3084,0.000118,0.517845,5.636,7.594,,,,,,,,
70,0.2044,2026-02-22T20:02:10.728639,235.63,0.3163,0.000138,0.43631,5.636,7.594,,,,,,,,
80,0.2336,2026-02-22T20:02:41.113575,266.02,0.2914,0.00015800000000000002,0.611741,5.636,7.594,,,,,,,,
90,0.2628,2026-02-22T20:03:12.105394,297.01,0.3124,0.00017800000000000002,0.453763,5.636,7.594,,,,,,,,
100,0.292,2026-02-22T20:03:44.425238,329.33,0.3223,0.00019800000000000002,0.44837,5.636,7.594,,,,,,,,
100,0.292,2026-02-22T20:04:20.505707,365.41,,,,5.636,7.594,0.307455,36.0771,16.881,4.241,,,,
110,0.3212,2026-02-22T20:04:54.498120,399.4,0.3101,0.00019995065603657316,0.369171,5.636,7.594,,,,,,,,
120,0.3504,2026-02-22T20:05:28.567066,433.47,0.3229,0.000199780146829205,0.345911,5.637,7.594,,,,,,,,
130,0.3796,2026-02-22T20:06:01.241977,466.15,0.3007,0.00019948807088287883,0.348378,5.64,7.594,,,,,,,,
140,0.4088,2026-02-22T20:06:34.133886,499.04,0.298,0.00019907478404714436,0.339227,5.643,7.594,,,,,,,,
150,0.438,2026-02-22T20:07:06.657519,531.56,0.3364,0.00019854078984834903,0.355774,5.643,7.594,,,,,,,,
160,0.4672,2026-02-22T20:07:39.666225,564.57,0.3246,0.0001978867388761685,0.429106,5.643,7.594,,,,,,,,
170,0.4964,2026-02-22T20:08:11.716270,596.62,0.3033,0.00019711342799096361,0.371791,5.643,7.594,,,,,,,,
180,0.5255,2026-02-22T20:08:44.419151,629.32,0.2881,0.00019622179935292855,0.319813,5.643,7.594,,,,,,,,
190,0.5547,2026-02-22T20:09:16.490553,661.39,0.2855,0.00019521293927421388,0.354155,5.643,7.594,,,,,,,,
200,0.5839,2026-02-22T20:09:48.127983,693.03,0.3004,0.00019408807689542257,0.383282,5.643,7.594,,,,,,,,
200,0.5839,2026-02-22T20:10:24.165360,729.07,,,,5.643,7.594,0.297694,36.0328,16.901,4.246,,,,
210,0.6131,2026-02-22T20:10:57.430014,762.33,0.2986,0.00019284858268809137,0.350152,5.643,7.594,,,,,,,,
220,0.6423,2026-02-22T20:11:29.916732,794.82,0.3039,0.0001914959667849825,0.384052,5.643,7.594,,,,,,,,
230,0.6715,2026-02-22T20:12:01.592349,826.5,0.3019,0.00019003187714021938,0.316779,5.643,7.594,,,,,,,,
240,0.7007,2026-02-22T20:12:32.746351,857.65,0.3165,0.0001884580975215084,0.317211,5.643,7.594,,,,,,,,
250,0.7299,2026-02-22T20:13:03.531901,888.44,0.2951,0.00018677654533689287,0.335567,5.643,7.594,,,,,,,,
260,0.7591,2026-02-22T20:13:35.048370,919.95,0.2824,0.00018498926929868642,0.419004,5.643,7.594,,,,,,,,
270,0.7883,2026-02-22T20:14:07.637078,952.54,0.2758,0.00018309844692743283,0.3054,5.643,7.594,,,,,,,,
280,0.8175,2026-02-22T20:14:39.831317,984.74,0.2911,0.00018110638189893267,0.291127,5.643,7.594,,,,,,,,
290,0.8467,2026-02-22T20:15:09.233542,1014.14,0.265,0.00017901550123756906,0.340721,5.643,7.594,,,,,,,,
300,0.8759,2026-02-22T20:15:40.855694,1045.76,0.2973,0.00017682835235935236,0.369477,5.643,7.594,,,,,,,,
300,0.8759,2026-02-22T20:16:16.794844,1081.7,,,,5.643,7.594,0.288526,35.9355,16.947,4.258,,,,
310,0.9051,2026-02-22T20:16:49.026578,1113.93,0.2841,0.00017454759996828623,0.292364,5.643,7.594,,,,,,,,
320,0.9343,2026-02-22T20:17:21.846646,1146.75,0.3146,0.00017217602280983623,0.336396,5.643,7.594,,,,,,,,
330,0.9635,2026-02-22T20:17:54.874185,1179.78,0.3073,0.00016971651028545648,0.296978,5.643,7.594,,,,,,,,
340,0.9927,2026-02-22T20:18:26.482092,1211.39,0.2987,0.00016717205893229903,0.378801,5.643,7.594,,,,,,,,
350,1.0204,2026-02-22T20:18:57.667826,1242.57,0.2896,0.00016454576877239507,0.29542,5.643,7.594,,,,,,,,
360,1.0496,2026-02-22T20:19:29.806902,1274.71,0.2627,0.0001618408395357554,0.310344,5.643,7.594,,,,,,,,
370,1.0788,2026-02-22T20:20:01.527472,1306.43,0.2538,0.00015906056676199255,0.264774,5.643,7.594,,,,,,,,
380,1.108,2026-02-22T20:20:33.606178,1338.51,0.259,0.00015620833778521307,0.319555,5.643,7.594,,,,,,,,
390,1.1372,2026-02-22T20:21:05.162887,1370.07,0.2493,0.000153287627607073,0.323929,5.643,7.594,,,,,,,,
400,1.1664,2026-02-22T20:21:37.501413,1402.41,0.2526,0.00015030199466302353,0.39828,5.643,7.594,,,,,,,,
400,1.1664,2026-02-22T20:22:13.454462,1438.36,,,,5.643,7.594,0.287894,35.9496,16.94,4.256,,,,
410,1.1956,2026-02-22T20:22:48.444658,1473.35,0.2855,0.00014725507648690543,0.30554,5.643,7.594,,,,,,,,
420,1.2248,2026-02-22T20:23:20.546048,1505.45,0.2639,0.00014415058527917452,0.366767,5.643,7.594,,,,,,,,
430,1.254,2026-02-22T20:23:52.278633,1537.18,0.2429,0.00014099230338415728,0.394731,5.643,7.594,,,,,,,,
440,1.2832,2026-02-22T20:24:22.460188,1567.36,0.2567,0.00013778407868184672,0.248969,5.643,7.594,,,,,,,,
450,1.3124,2026-02-22T20:24:54.559011,1599.46,0.2656,0.00013452981989985348,0.273069,5.643,7.594,,,,,,,,
460,1.3416,2026-02-22T20:25:24.997400,1629.9,0.2376,0.00013123349185122327,0.288654,5.643,7.594,,,,,,,,
470,1.3708,2026-02-22T20:25:56.773051,1661.68,0.2419,0.00012789911060392294,0.272509,5.643,7.594,,,,,,,,
480,1.4,2026-02-22T20:26:28.640022,1693.54,0.2537,0.00012453073858788026,0.402001,5.643,7.594,,,,,,,,
490,1.4292,2026-02-22T20:27:01.246009,1726.15,0.2644,0.00012113247964553888,0.315491,5.643,7.594,,,,,,,,
500,1.4584,2026-02-22T20:27:33.287463,1758.19,0.2511,0.00011770847403195834,0.321332,5.643,7.594,,,,,,,,
500,1.4584,2026-02-22T20:28:09.236090,1794.14,,,,5.643,7.594,0.283413,35.9451,16.942,4.256,,,,
510,1.4876,2026-02-22T20:28:42.100877,1827.01,0.2556,0.00011426289337055119,0.290712,5.643,7.594,,,,,,,,
520,1.5168,2026-02-22T20:29:14.694585,1859.6,0.2635,0.0001107999355706023,0.346298,5.643,7.594,,,,,,,,
530,1.546,2026-02-22T20:29:45.907317,1890.81,0.2251,0.00010732381971276318,0.298414,5.643,7.594,,,,,,,,
540,1.5752,2026-02-22T20:30:17.239634,1922.14,0.2522,0.00010383878090875201,0.258407,5.643,7.594,,,,,,,,
550,1.6044,2026-02-22T20:30:49.247387,1954.15,0.2572,0.00010034906514152238,0.314419,5.643,7.594,,,,,,,,
560,1.6336,2026-02-22T20:31:22.205812,1987.11,0.2536,9.685892409218717e-05,0.314519,5.643,7.594,,,,,,,,
570,1.6628,2026-02-22T20:31:52.606848,2017.51,0.2413,9.337260996000002e-05,0.24442,5.643,7.594,,,,,,,,
580,1.692,2026-02-22T20:32:23.313344,2048.22,0.2514,8.989437028170537e-05,0.305468,5.643,7.594,,,,,,,,
590,1.7212,2026-02-22T20:32:53.897563,2078.8,0.2423,8.642844275656957e-05,0.325663,5.643,7.594,,,,,,,,
600,1.7504,2026-02-22T20:33:23.282520,2108.19,0.2238,8.297905008339677e-05,0.286638,5.643,7.594,,,,,,,,
600,1.7504,2026-02-22T20:33:59.199942,2144.1,,,,5.643,7.594,0.278521,35.9141,16.957,4.26,,,,
610,1.7796,2026-02-22T20:34:33.939957,2178.84,0.2596,7.955039481582097e-05,0.322414,5.643,7.594,,,,,,,,
620,1.8088,2026-02-22T20:35:06.228946,2211.13,0.276,7.614665424214193e-05,0.351265,5.643,7.594,,,,,,,,
630,1.838,2026-02-22T20:35:37.053718,2241.96,0.2418,7.277197529594257e-05,0.294801,5.643,7.594,,,,,,,,
640,1.8672,2026-02-22T20:36:11.027732,2275.93,0.2593,6.943046950368944e-05,0.289862,5.643,7.594,,,,,,,,
650,1.8964,2026-02-22T20:36:43.828952,2308.73,0.2555,6.612620797547087e-05,0.280928,5.643,7.594,,,,,,,,
660,1.9255,2026-02-22T20:37:16.683050,2341.59,0.2619,6.286321644497655e-05,0.309785,5.643,7.594,,,,,,,,
670,1.9547,2026-02-22T20:37:47.165256,2372.07,0.2286,5.964547036476099e-05,0.27016,5.643,7.594,,,,,,,,
680,1.9839,2026-02-22T20:38:19.389750,2404.29,0.253,5.647689006276726e-05,0.287937,5.643,7.594,,,,,,,,
690,2.0117,2026-02-22T20:38:48.049215,2432.95,0.222,5.33613359660109e-05,0.229957,5.643,7.594,,,,,,,,
700,2.0409,2026-02-22T20:39:19.743618,2464.65,0.2104,5.0302603897244474e-05,0.33623,5.643,7.594,,,,,,,,
700,2.0409,2026-02-22T20:39:55.672351,2500.58,,,,5.643,7.594,0.27994,35.9251,16.952,4.259,,,,
710,2.0701,2026-02-22T20:40:29.550021,2534.45,0.2059,4.7304420450332244e-05,0.446917,5.643,7.594,,,,,,,,
720,2.0993,2026-02-22T20:41:01.016640,2565.92,0.1943,4.437043844996952e-05,0.313579,5.643,7.594,,,,,,,,
730,2.1285,2026-02-22T20:41:33.807785,2598.71,0.2018,4.150423250127845e-05,0.276488,5.643,7.594,,,,,,,,
740,2.1577,2026-02-22T20:42:05.870722,2630.77,0.1972,3.8709294634702376e-05,0.335671,5.643,7.594,,,,,,,,
750,2.1869,2026-02-22T20:42:36.756347,2661.66,0.182,3.5989030051504434e-05,0.276064,5.643,7.594,,,,,,,,
760,2.2161,2026-02-22T20:43:09.353871,2694.26,0.205,3.334675297505476e-05,0.301489,5.643,7.594,,,,,,,,
770,2.2453,2026-02-22T20:43:41.734893,2726.64,0.2166,3.078568261295933e-05,0.266655,5.643,7.594,,,,,,,,
780,2.2745,2026-02-22T20:44:12.821804,2757.73,0.1907,2.8308939234951726e-05,0.386693,5.643,7.594,,,,,,,,
790,2.3036,2026-02-22T20:44:44.136572,2789.04,0.2059,2.591954037132499e-05,0.383586,5.643,7.594,,,,,,,,
800,2.3328,2026-02-22T20:45:17.147493,2822.05,0.1996,2.362039713653581e-05,0.264969,5.643,7.594,,,,,,,,
800,2.3328,2026-02-22T20:45:53.114800,2858.02,,,,5.643,7.594,0.282669,35.963,16.934,4.254,,,,
810,2.362,2026-02-22T20:46:27.534799,2892.44,0.1947,2.1414310682459802e-05,0.271107,5.643,7.594,,,,,,,,
820,2.3912,2026-02-22T20:47:01.181623,2926.09,0.1972,1.930396878561983e-05,0.276138,5.643,7.594,,,,,,,,
830,2.4204,2026-02-22T20:47:32.353312,2957.26,0.2022,1.7291942572543807e-05,0.29441,5.643,7.594,,,,,,,,
840,2.4496,2026-02-22T20:48:03.587305,2988.49,0.1818,1.538068338724361e-05,0.269553,5.643,7.594,,,,,,,,
850,2.4788,2026-02-22T20:48:36.390466,3021.29,0.2128,1.3572519804629536e-05,0.295773,5.643,7.594,,,,,,,,
860,2.508,2026-02-22T20:49:09.148042,3054.05,0.1954,1.1869654793500784e-05,0.325136,5.643,7.594,,,,,,,,
870,2.5372,2026-02-22T20:49:40.003008,3084.91,0.2032,1.0274163032567163e-05,0.303351,5.643,7.594,,,,,,,,
880,2.5664,2026-02-22T20:50:12.683380,3117.59,0.2053,8.787988382772705e-06,0.329312,5.643,7.594,,,,,,,,
890,2.5956,2026-02-22T20:50:44.238112,3149.14,0.1894,7.412941519000527e-06,0.316904,5.643,7.594,,,,,,,,
900,2.6248,2026-02-22T20:51:16.160293,3181.06,0.2004,6.1506977240444074e-06,0.308646,5.643,7.594,,,,,,,,
900,2.6248,2026-02-22T20:51:52.135693,3217.04,,,,5.643,7.594,0.283445,35.971,16.93,4.253,,,,
910,2.654,2026-02-22T20:52:27.569455,3252.47,0.203,5.002794847534764e-06,0.332092,5.643,7.594,,,,,,,,
920,2.6832,2026-02-22T20:53:00.263014,3285.17,0.2093,3.970631432305694e-06,0.321724,5.643,7.594,,,,,,,,
930,2.7124,2026-02-22T20:53:33.255937,3318.16,0.2111,3.0554650104861136e-06,0.366578,5.643,7.594,,,,,,,,
940,2.7416,2026-02-22T20:54:04.841013,3349.75,0.1935,2.2584105713904125e-06,0.29928,5.643,7.594,,,,,,,,
950,2.7708,2026-02-22T20:54:36.456247,3381.36,0.1827,1.580439203075812e-06,0.291672,5.643,7.594,,,,,,,,
960,2.8,2026-02-22T20:55:08.251257,3413.16,0.1979,1.0223769092211012e-06,0.336251,5.643,7.594,,,,,,,,
970,2.8292,2026-02-22T20:55:38.334523,3443.24,0.1836,5.849036027684606e-07,0.283803,5.643,7.594,,,,,,,,
980,2.8584,2026-02-22T20:56:12.058828,3476.96,0.2164,2.685522775541904e-07,0.333759,5.643,7.594,,,,,,,,
990,2.8876,2026-02-22T20:56:43.083594,3507.99,0.1949,7.370835893788508e-08,0.316163,5.643,7.594,,,,,,,,
1000,2.9168,2026-02-22T20:57:16.910923,3541.82,0.2121,6.092342209607083e-10,0.301941,5.643,7.594,,,,,,,,
1000,2.9168,2026-02-22T20:57:52.889051,3577.79,,,,5.643,7.594,0.283263,35.9738,16.929,4.253,,,,
1000,2.9168,2026-02-22T20:57:55.137102,3580.04,0.286776,,,5.643,7.594,,,,,3585.2161,4.463,0.279,1.4963247062512435e+17
